,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
3828,Kepler-85 d,2496.0,1.87 Earths,14.89,2014,Super Earth,1.2 x Earth,0.13 AU,17.9 days,0,Kepler-902,Transit,5647.0,0.93,0.95,19h18m55.61s,+46d57m13.95s
3829,Kepler-85 e,2496.0,0.6 Earths,14.89,2014,Super Earth,1.27 x Earth,0.163 AU,25.2 days,0,Kepler-903,Transit,5682.0,0.97,0.98,19h15m05.04s,+40d39m51.04s
3830,Kepler-850 b,5419.0,3.82 Earths,15.611,2016,Super Earth,1.78 x Earth,0.0744 AU,7.2 days,0,Kepler-903,Transit,5682.0,0.97,0.98,19h15m05.04s,+40d39m51.04s
3831,Kepler-851 b,2738.0,3.46 Earths,15.172,2016,Super Earth,1.68 x Earth,0.0802 AU,8.5 days,0,Kepler-904,Transit,6160.0,1.25,1.16,19h15m17.50s,+40d23m20.44s
3832,Kepler-852 b,5281.0,6.99 Earths,14.006,2016,Neptune-like,0.227 x Jupiter,0.2654 AU,44.9 days,0,Kepler-905,Transit,5461.0,0.86,0.95,19h20m12.28s,+46d42m48.27s
3833,Kepler-853 b,1855.0,3.5 Earths,12.339,2016,Super Earth,1.69 x Earth,0.0779 AU,7.2 days,0,Kepler-906,Transit,6035.0,1.02,1.06,19h25m37.33s,+40d07m31.53s
3834,Kepler-854 b,4557.0,132 Jupiters,13.417,2016,Gas Giant,1.492 x Jupiter,0.0334 AU,2.1 days,0,Kepler-907,Transit,6106.0,1.38,1.08,19h01m54.36s,+41d37m57.58s
3835,Kepler-855 b,4914.0,0.166 Jupiters,15.157,2016,Gas Giant,0.745 x Jupiter,0.0762 AU,7.9 days,0,Kepler-908,Transit,5973.0,1.12,1.11,19h41m17.41s,+39d22m35.26s
3836,Kepler-856 b,4408.0,0.199 Jupiters,15.594,2016,Gas Giant,0.83 x Jupiter,0.0787 AU,8 days,0,Kepler-909,Transit,6154.0,1.23,1.17,19h18m01.53s,+45d22m15.50s
3837,Kepler-857 b,3208.0,37.2 Earths,15.167,2016,Neptune-like,0.607 x Jupiter,0.3751 AU,85.4 days,0,Kepler-91,Transit,4550.0,6.3,1.31,19h02m41.50s,+44d07m00.30s
3838,Kepler-858 b,974.0,21.1 Earths,12.568,2016,Neptune-like,0.434 x Jupiter,0.3403 AU,76.1 days,0,Kepler-910,Transit,6230.0,1.5,1.26,19h44m11.35s,+42d44m34.59s
3839,Kepler-859 b,2740.0,9.75 Earths,15.977,2016,Neptune-like,0.276 x Jupiter,0.1345 AU,20.4 days,0,Kepler-911,Transit,6112.0,1.99,1.34,19h54m21.41s,+40d45m02.49s
3840,Kepler-860 b,3446.0,10.6 Earths,15.544,2016,Neptune-like,0.289 x Jupiter,0.058 AU,5.1 days,0,Kepler-912,Transit,5998.0,1.11,1.07,19h52m26.68s,+41d45m29.97s
