,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
0,11 Comae Berenices b,304.0,19.4 Jupiters,4.72307,2007,Gas Giant,1.08 x Jupiter,1.29 AU,326 days,0.23,11 Com,Radial Velocity,4742.0,19.0,2.7,12h20m42.91s,+17d47m35.71s
1,11 Ursae Minoris b,409.0,14.74 Jupiters,5.013,2009,Gas Giant,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,4213.0,29.79,2.78,15h17m05.90s,+71d49m26.19s
2,14 Andromedae b,246.0,4.8 Jupiters,5.23133,2008,Gas Giant,1.15 x Jupiter,0.83 AU,185.8 days,0,14 And,Radial Velocity,4813.0,11.0,2.2,23h31m17.80s,+39d14m09.01s
3,14 Herculis b,58.0,4.66 Jupiters,6.61935,2002,Gas Giant,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,5338.0,0.93,0.9,16h10m24.50s,+43d48m58.90s
4,16 Cygni B b,69.0,1.78 Jupiters,6.215,1996,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,5750.0,1.13,1.08,19h41m51.75s,+50d31m00.57s
5,17 Scorpii b,408.0,4.32 Jupiters,5.22606,2020,Gas Giant,1.15 x Jupiter,1.45 AU,1.6 years,0.06,17 Sco,Radial Velocity,4157.0,25.92,1.22,16h13m50.90s,-11d50m16.05s
6,18 Delphini b,249.0,10.3 Jupiters,5.51048,2008,Gas Giant,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,4979.0,8.5,2.3,20h58m25.88s,+10d50m20.90s
7,1RXS J160929.1-210524 b,454.0,8 Jupiters,12.618,2008,Gas Giant,1.664 x Jupiter,330.0 AU,6505.9 years,0,1RXS J160929.1-210524,Imaging,4060.0,1.31,0.85,16h09m30.30s,-21d04m59.31s
8,24 Bootis b,313.0,0.91 Jupiters,5.59,2018,Gas Giant,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,4893.0,10.64,0.99,14h28m37.33s,+49d50m40.74s
9,24 Sextantis b,235.0,1.99 Jupiters,6.4535,2010,Gas Giant,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,5098.0,4.9,1.54,10h23m28.44s,-00d54m08.64s
10,24 Sextantis c,235.0,0.86 Jupiters,6.4535,2010,Gas Giant,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,5098.0,4.9,1.54,10h23m28.44s,-00d54m08.64s
11,2MASS J01033563-5515561 AB b,154.0,13 Jupiters,15.788,2013,Gas Giant,1.1 x Jupiter,84.0 AU,1767.2 years,0,2MASS J01033563-5515561 A,Imaging,,,0.19,01h03m35.82s,-55d15m56.98s
12,2MASS J01225093-2439505 b,110.0,24.5 Jupiters,14.244,2013,Gas Giant,1.0 x Jupiter,52.0 AU,593.2 years,0,2MASS J01225093-2439505,Imaging,3530.0,0.37,0.4,01h22m51.07s,-24d39m52.61s
13,2MASS J02192210-3925225 b,131.0,13.9 Jupiters,15.0123,2015,Gas Giant,1.44 x Jupiter,156.0 AU,5878.1 years,0,2MASS J02192210-3925225,Imaging,3064.0,0.28,0.11,02h19m22.25s,-39d25m23.08s
14,2MASS J04414489+2301513 b,393.0,7.5 Jupiters,18.9668,2010,Gas Giant,1.13 x Jupiter,15.0 AU,411 years,0,2MASS J04414489+2301513,Imaging,2936.0,0.23,0.02,04h41m44.91s,+23d01m51.08s
15,2MASS J12073346-3932539 b,210.0,5 Jupiters,20.15,2004,Gas Giant,1.15 x Jupiter,55.0 AU,2885.9 years,0,2MASS J12073346-3932539,Imaging,2825.0,0.22,0.02,12h07m33.38s,-39d32m54.38s
16,2MASS J19383260+4603591 b,1293.0,1.9 Jupiters,12.651,2015,Gas Giant,1.2 x Jupiter,0.92 AU,416 days,0,2MASS J19383260+4603591,Eclipse Timing Variations,10868.0,0.34,0.48,19h38m32.62s,+46d03m59.07s
17,2MASS J21402931+1625183 A b,108.0,20.95 Jupiters,17.3961,2009,Gas Giant,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,2300.0,0.12,0.08,21h40m29.24s,+16d25m16.83s
18,2MASS J22362452+4751425 b,227.0,12.5 Jupiters,12.368,2016,Gas Giant,1.1 x Jupiter,230.0 AU,4505.7 years,0,2MASS J22362452+4751425,Imaging,4045.0,0.64,0.6,22h36m24.62s,+47d51m42.06s
19,30 Arietis B b,146.0,13.82 Jupiters,7.09209,2009,Gas Giant,1.1 x Jupiter,0.99 AU,335.1 days,0.29,30 Ari B,Radial Velocity,6331.0,1.41,1.93,02h36m57.91s,+24d38m52.84s
20,42 Draconis b,296.0,3.88 Jupiters,4.8262,2008,Gas Giant,1.16 x Jupiter,1.19 AU,479.1 days,0.38,42 Dra,Radial Velocity,4200.0,22.03,0.98,18h25m59.40s,+65d33m48.11s
21,47 Ursae Majoris b,45.0,2.53 Jupiters,5.03352,1996,Gas Giant,1.18 x Jupiter,2.1 AU,3 years,0.03,47 UMa,Radial Velocity,5872.0,1.21,1.06,10h59m27.54s,+40d25m49.78s
22,47 Ursae Majoris c,45.0,0.54 Jupiters,5.03352,2001,Gas Giant,1.27 x Jupiter,3.6 AU,6.6 years,0.1,47 UMa,Radial Velocity,5872.0,1.21,1.06,10h59m27.54s,+40d25m49.78s
23,47 Ursae Majoris d,45.0,1.64 Jupiters,5.03352,2009,Gas Giant,1.2 x Jupiter,11.6 AU,38.4 years,0.16,47 UMa,Radial Velocity,5872.0,1.21,1.06,10h59m27.54s,+40d25m49.78s
24,51 Eridani b,97.0,2 Jupiters,5.21149,2015,Gas Giant,1.19 x Jupiter,13.2 AU,32 years,0.45,51 Eri,Imaging,7295.0,1.49,1.75,04h37m36.18s,-02d28m25.77s
25,51 Pegasi b,50.0,0.46 Jupiters,5.45309,1995,Gas Giant,1.27 x Jupiter,0.0527 AU,4.2 days,0.01,51 Peg,Radial Velocity,5758.0,1.18,1.03,22h57m28.21s,+20d46m08.74s
26,55 Cancri b,41.0,0.8306 Jupiters,5.95084,1996,Gas Giant,1.24 x Jupiter,0.1134 AU,14.7 days,0,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
27,55 Cancri c,41.0,0.1714 Jupiters,5.95084,2004,Gas Giant,0.76 x Jupiter,0.2373 AU,44.4 days,0.03,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
28,55 Cancri d,41.0,3.878 Jupiters,5.95084,2002,Gas Giant,1.16 x Jupiter,5.957 AU,15.3 years,0.13,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
29,55 Cancri e,41.0,7.99 Earths,5.95084,2004,Super Earth,1.875 x Earth,0.01544 AU,0.7 days,0.05,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
30,55 Cancri f,41.0,0.141 Jupiters,5.95084,2007,Gas Giant,0.677 x Jupiter,0.7708 AU,259.9 days,0.08,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
31,6 Lyncis b,178.0,2.01 Jupiters,5.87307,2008,Gas Giant,1.19 x Jupiter,2.11 AU,2.6 years,0.07,6 Lyn,Radial Velocity,4938.0,5.2,1.44,06h30m47.05s,+58d09m40.23s
32,61 Virginis b,28.0,5.1 Earths,4.6955,2009,Neptune-like,2.11 x Earth,0.050201 AU,4.2 days,0.12,61 Vir,Radial Velocity,5577.0,0.96,0.94,13h18m23.15s,-18d18m56.79s
33,61 Virginis c,28.0,18.2 Earths,4.6955,2009,Neptune-like,0.398 x Jupiter,0.2175 AU,38 days,0.14,61 Vir,Radial Velocity,5577.0,0.96,0.94,13h18m23.15s,-18d18m56.79s
34,61 Virginis d,28.0,22.9 Earths,4.6955,2009,Neptune-like,0.456 x Jupiter,0.476 AU,123 days,0.35,61 Vir,Radial Velocity,5577.0,0.96,0.94,13h18m23.15s,-18d18m56.79s
35,7 Canis Majoris b,65.0,1.85 Jupiters,3.95,2011,Gas Giant,1.2 x Jupiter,1.758 AU,2 years,0.06,7 CMa,Radial Velocity,4826.0,4.87,1.34,06h36m41.11s,-19d15m22.25s
36,7 Canis Majoris c,65.0,0.87 Jupiters,3.95,2019,Gas Giant,1.24 x Jupiter,2.153 AU,2.7 years,0.08,7 CMa,Radial Velocity,4826.0,4.87,1.34,06h36m41.11s,-19d15m22.25s
37,70 Virginis b,58.0,7.49 Jupiters,4.96808,1996,Gas Giant,1.13 x Jupiter,0.481 AU,116.7 days,0.4,70 Vir,Radial Velocity,5495.0,1.89,1.09,13h28m25.56s,+13d46m34.71s
38,75 Ceti b,271.0,3 Jupiters,5.3532,2012,Gas Giant,1.17 x Jupiter,2.1 AU,1.9 years,0.12,75 Cet,Radial Velocity,4846.0,10.5,2.49,02h32m09.40s,-01d02m06.10s
39,8 Ursae Minoris b,530.0,1.31 Jupiters,6.83295,2015,Gas Giant,1.22 x Jupiter,0.49 AU,93.4 days,0.06,8 UMi,Radial Velocity,4847.0,10.3,1.44,14h56m48.40s,+74d54m03.38s
40,81 Ceti b,330.0,5.3 Jupiters,5.64307,2008,Gas Giant,1.14 x Jupiter,2.5 AU,2.6 years,0.21,81 Cet,Radial Velocity,4785.0,11.0,2.4,02h37m41.85s,-03d23m46.90s
41,91 Aquarii b,144.0,3.2 Jupiters,4.23946,2013,Gas Giant,1.17 x Jupiter,0.7 AU,181.4 days,0.03,91 Aqr,Radial Velocity,4665.0,11.0,1.4,23h15m53.88s,-09d05m16.11s
42,AB Pictoris b,163.0,13.5 Jupiters,9.13,2005,Gas Giant,1.1 x Jupiter,260.0 AU,4421.7 years,0,AB Pic,Imaging,5285.0,1.0,0.9,06h19m12.94s,-58d03m14.83s
43,AU Microscopii b,32.0,17 Earths,8.81,2020,Neptune-like,0.363 x Jupiter,0.0645 AU,8.5 days,0,alf Ari,Radial Velocity,4553.0,13.9,1.5,02h07m10.39s,+23d27m44.72s
44,AU Microscopii c,32.0,13.6 Earths,8.81,2021,Neptune-like,0.289 x Jupiter,0.1101 AU,18.9 days,0,alf Tau,Radial Velocity,4055.0,45.1,1.13,04h35m55.24s,+16d30m33.12s
45,Alpha Arietis b,66.0,1.8 Jupiters,2.00538,2010,Gas Giant,1.2 x Jupiter,1.2 AU,380.8 days,0.25,AU Mic,Transit,3700.0,0.75,0.5,20h45m09.87s,-31d20m32.82s
46,Alpha Tauri b,67.0,6.47 Jupiters,0.872,2015,Gas Giant,1.13 x Jupiter,1.46 AU,1.7 years,0.1,AU Mic,Transit,3700.0,0.75,0.5,20h45m09.87s,-31d20m32.82s
47,BD+03 2562 b,3492.0,6.4 Jupiters,9.577,2017,Gas Giant,1.13 x Jupiter,1.3 AU,481.9 days,0.2,BD+03 2562,Radial Velocity,4095.0,32.35,1.14,11h50m15.53s,+02d45m36.39s
48,BD+14 4559 b,161.0,1.04 Jupiters,9.78,2009,Gas Giant,1.23 x Jupiter,0.78 AU,268.9 days,0.29,BD+14 4559,Radial Velocity,4864.0,0.86,0.49,21h13m36.24s,+14d41m21.78s
49,BD+15 2375 b,2505.0,1.061 Jupiters,10.41,2016,Gas Giant,1.23 x Jupiter,0.576 AU,153.2 days,0,BD+15 2375,Radial Velocity,4649.0,8.95,1.08,11h45m55.69s,+14d36m58.75s
50,BD+15 2940 b,1391.0,1.11 Jupiters,9.01,2013,Gas Giant,1.23 x Jupiter,0.539 AU,137.5 days,0.26,BD+15 2940,Radial Velocity,4796.0,14.7,1.1,16h00m22.95s,+15d32m48.30s
51,BD+20 2457 b,5023.0,55.59 Jupiters,9.743,2009,Gas Giant,1.03 x Jupiter,1.05 AU,379.6 days,0.15,BD+20 2457,Radial Velocity,4259.0,71.02,10.83,10h16m44.83s,+19d53m28.55s
52,BD+20 2457 c,5023.0,12.47 Jupiters,9.743,2009,Gas Giant,1.1 x Jupiter,2.01 AU,1.7 years,0.18,BD+20 2457,Radial Velocity,4137.0,49.0,2.8,10h16m44.83s,+19d53m28.55s
53,BD+20 274 b,4314.0,4.2 Jupiters,9.367,2012,Gas Giant,1.16 x Jupiter,1.3 AU,1.6 years,0.21,BD+20 274,Radial Velocity,4296.0,17.3,0.8,01h43m40.88s,+21d00m18.97s
54,BD+20 594 b,585.0,22.2481 Earths,10.849,2016,Neptune-like,0.23 x Jupiter,0.241 AU,41.7 days,0,BD+20 594,Transit,5766.0,1.08,1.67,03h34m36.27s,+20d35m56.47s
55,BD+45 564 b,175.0,1.36 Jupiters,9.67,2021,Gas Giant,1.21 x Jupiter,0.83 AU,307.9 days,0.12,BD+45 564,Radial Velocity,5004.0,0.81,0.81,02h11m47.29s,+45d55m27.19s
56,BD+48 738 b,2843.0,0.91 Jupiters,9.139,2011,Gas Giant,1.24 x Jupiter,1.0 AU,392.6 days,0.2,BD+48 738,Radial Velocity,4414.0,11.0,0.74,02h42m50.47s,+49d35m12.98s
57,BD+48 740 b,2174.0,1.7 Jupiters,8.69,2018,Gas Giant,1.2 x Jupiter,1.7 AU,2 years,0.76,BD+48 740,Radial Velocity,4534.0,10.33,1.09,02h42m58.21s,+48d55m48.21s
58,BD+49 828 b,1442.0,1.6 Jupiters,9.381,2015,Gas Giant,1.21 x Jupiter,4.2 AU,7.1 years,0.35,BD+49 828,Radial Velocity,4943.0,7.6,1.52,03h02m33.75s,+49d43m47.81s
59,BD+55 362 b,171.0,0.72 Jupiters,9.38,2021,Gas Giant,1.25 x Jupiter,0.78 AU,265.6 days,0.27,BD+55 362,Radial Velocity,5012.0,0.9,0.91,01h35m51.28s,+56d41m53.62s
60,BD+63 1405 b,124.0,3.96 Jupiters,8.96,2021,Gas Giant,1.16 x Jupiter,2.06 AU,3.3 years,0.88,BD+63 1405,Radial Velocity,5000.0,0.8,0.82,18h05m35.50s,+63d40m12.02s
61,BD-00 4475 b,139.0,25.05 Jupiters,9.01,2021,Gas Giant,1.07 x Jupiter,1.48 AU,2 years,0.39,BD-00 4475,Radial Velocity,5040.0,0.84,0.81,23h10m50.60s,+00d24m30.82s
62,BD-06 1339 b,66.0,8.5 Earths,9.7,2013,Neptune-like,0.254 x Jupiter,0.0428 AU,3.9 days,0,BD-06 1339,Radial Velocity,4324.0,0.69,0.7,05h53m00.28s,-05d59m46.82s
63,BD-06 1339 c,66.0,0.17 Jupiters,9.7,2013,Gas Giant,0.747 x Jupiter,0.435 AU,125.9 days,0.31,BD-06 1339,Radial Velocity,4324.0,0.69,0.7,05h53m00.28s,-05d59m46.82s
64,BD-08 2823 b,135.0,12.7132 Earths,9.86,2009,Neptune-like,0.322 x Jupiter,0.06 AU,5.6 days,0.15,BD-08 2823,Radial Velocity,4816.0,0.71,0.5,10h00m47.33s,-09d30m59.65s
65,BD-08 2823 c,135.0,0.33 Jupiters,9.86,2009,Gas Giant,1.11 x Jupiter,0.68 AU,237.6 days,0.19,BD-08 2823,Radial Velocity,4746.0,0.72,0.74,10h00m47.33s,-09d30m59.65s
66,BD-10 3166 b,275.0,0.59 Jupiters,10.013,2000,Gas Giant,1.26 x Jupiter,0.04 AU,3.5 days,0.02,BD-10 3166,Radial Velocity,5393.0,0.91,1.47,10h58m28.59s,-10d46m13.52s
67,BD-11 4672 b,89.0,0.65 Jupiters,10.03,2014,Gas Giant,1.25 x Jupiter,2.36 AU,4.5 years,0.05,BD-11 4672,Radial Velocity,4550.0,0.64,0.65,18h33m28.53s,-11d38m13.37s
68,BD-11 4672 c,89.0,15.37 Earths,10.03,2020,Neptune-like,0.36 x Jupiter,0.3 AU,74.2 days,0.4,BD-11 4672,Radial Velocity,4550.0,0.64,0.65,18h33m28.53s,-11d38m13.37s
69,BD-13 2130 b,3018.0,9.78 Jupiters,10.038,2007,Gas Giant,1.11 x Jupiter,1.66 AU,2 years,0.21,BD-13 2130,Radial Velocity,4545.0,19.17,2.12,07h37m09.23s,-13d54m24.01s
70,BD-17 63 b,112.0,5.1 Jupiters,9.62,2008,Gas Giant,1.15 x Jupiter,1.34 AU,1.8 years,0.54,BD-17 63,Radial Velocity,4714.0,0.69,0.74,00h28m33.92s,-16d13m38.37s
71,Beta Cancri b,290.0,7.8 Jupiters,3.51012,2014,Gas Giant,1.12 x Jupiter,1.7 AU,1.7 years,0.08,bet Cnc,Radial Velocity,4092.1,47.2,1.7,08h16m30.87s,+09d11m07.19s
72,Beta Pictoris b,64.0,11 Jupiters,3.85,2008,Gas Giant,1.65 x Jupiter,9.1 AU,21 years,0.08,bet Pic,Imaging,8038.68,1.54,1.76,05h47m17.10s,-51d03m58.13s
73,Beta Pictoris c,64.0,9 Jupiters,3.85,2019,Gas Giant,1.12 x Jupiter,2.7 AU,3.3 years,0.24,bet Pic,Radial Velocity,7890.0,2.01,1.75,05h47m17.10s,-51d03m58.13s
74,Beta Ursae Minoris b,126.0,6.1 Jupiters,2.0569,2014,Gas Giant,1.14 x Jupiter,1.4 AU,1.4 years,0.19,bet UMi,Radial Velocity,4126.0,38.3,1.4,14h50m42.36s,+74d09m19.97s
75,CD Ceti b,28.0,3.95 Earths,13.95,2020,Super Earth,1.82 x Earth,0.0185 AU,2.3 days,0,CD Cet,Radial Velocity,3130.0,0.17,0.16,03h13m24.72s,+04d46m30.68s
76,CFBDSIR J145829+101343 b,75.0,10.5 Jupiters,,2011,Gas Giant,1.11 x Jupiter,2.6 AU,27.5 years,0,CFBDSIR J145829+101343,Imaging,580.5,,0.02,14h58m29.00s,+10d13m43.0s
77,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021,Gas Giant,1.86 x Jupiter,200.0 AU,22027.4 years,0,CFHTWIR-Oph 98 A,Imaging,2320.0,0.24,0.01,16h27m44.23s,-23d58m52.14s
78,CHXR 73 b,621.0,12.569 Jupiters,17.2934,2006,Gas Giant,1.1 x Jupiter,210.0 AU,5146.9 years,0,CHXR 73,Imaging,3099.0,,0.35,11h06m28.66s,-77d37m33.14s
79,CI Tauri b,515.0,11.6 Jupiters,13.642,2019,Gas Giant,1.11 x Jupiter,Unknown,9 days,0.25,CI Tau,Radial Velocity,3807.0,1.88,0.9,04h33m52.02s,+22d50m29.83s
80,COCONUTS-2 b,36.0,6.3 Jupiters,11.298,2021,Gas Giant,1.11 x Jupiter,7506.0 AU,1101369.9 years,0,COCONUTS-2 A,Imaging,3406.0,0.39,0.37,07h49m12.22s,-76d42m09.71s
81,CT Chamaleontis b,622.0,17 Jupiters,12.335,2007,Gas Giant,2.2 x Jupiter,440.0 AU,Infinity years,0,CoRoT-1,Transit,5950.0,1.11,0.95,06h48m19.17s,-03d06m07.70s
82,CoRoT-1 b,2570.0,1.03 Jupiters,13.623,2008,Gas Giant,1.49 x Jupiter,0.02752 AU,1.5 days,0,CoRoT-10,Transit,5075.0,0.79,0.89,19h24m15.28s,+00d44m45.65s
83,CoRoT-10 b,1104.0,2.75 Jupiters,15.293,2010,Gas Giant,0.97 x Jupiter,0.1055 AU,13.2 days,0.53,CoRoT-11,Transit,6440.0,1.37,1.27,18h42m44.95s,+05d56m15.57s
84,CoRoT-11 b,2137.0,2.33 Jupiters,12.897,2010,Gas Giant,1.43 x Jupiter,0.0436 AU,3 days,0,CoRoT-12,Transit,5675.0,1.12,1.08,06h43m03.76s,-01d17m47.20s
85,CoRoT-12 b,3674.0,0.917 Jupiters,15.588,2010,Gas Giant,1.44 x Jupiter,0.04016 AU,2.8 days,0.07,CoRoT-13,Transit,5945.0,1.01,1.09,06h50m53.07s,-05d05m11.24s
86,CoRoT-13 b,3748.0,1.308 Jupiters,15.005,2010,Gas Giant,0.885 x Jupiter,0.051 AU,4 days,0,CoRoT-14,Transit,6035.0,1.21,1.13,06h53m41.81s,-05d32m09.74s
87,CoRoT-14 b,5691.0,7.6 Jupiters,15.932,2010,Gas Giant,1.09 x Jupiter,0.027 AU,1.5 days,0,CoRoT-16,Transit,5650.0,1.19,1.1,18h34m05.92s,-06d00m09.37s
88,CoRoT-16 b,2389.0,0.535 Jupiters,16.052,2011,Gas Giant,1.17 x Jupiter,0.0618 AU,5.4 days,0.33,CoRoT-17,Transit,5740.0,1.59,1.04,18h34m47.82s,-06d36m44.24s
89,CoRoT-17 b,3837.0,2.43 Jupiters,16.29,2011,Gas Giant,1.02 x Jupiter,0.0461 AU,3.8 days,0,CoRoT-18,Transit,5440.0,1.0,0.95,06h32m41.38s,-00d01m53.78s
90,CoRoT-18 b,2495.0,3.47 Jupiters,14.868,2011,Gas Giant,1.31 x Jupiter,0.0295 AU,1.9 days,< 0.08,CoRoT-19,Transit,6090.0,1.65,1.21,06h28m08.06s,-00d10m14.63s
91,CoRoT-19 b,2579.0,1.11 Jupiters,14.135,2011,Gas Giant,1.29 x Jupiter,0.0518 AU,3.9 days,0.05,CoRoT-2,Transit,5625.0,0.91,0.96,19h27m06.49s,+01d23m01.19s
92,CoRoT-2 b,696.0,3.47 Jupiters,12.516,2008,Gas Giant,1.466 x Jupiter,0.02798 AU,1.7 days,0.01,CoRoT-20,Transit,5880.0,1.02,1.14,06h30m52.90s,+00d13m36.82s
93,CoRoT-20 b,2753.0,4.3 Jupiters,14.63,2011,Gas Giant,0.84 x Jupiter,0.09 AU,9.2 days,0.59,CoRoT-20,Radial Velocity,4947.5,1.37,1.14,06h30m52.90s,+00d13m36.82s
94,CoRoT-20 c,2753.0,17 Jupiters,14.63,2018,Gas Giant,1.09 x Jupiter,2.9 AU,4.6 years,0.6,CoRoT-21,Transit,6200.0,1.95,1.29,06h44m12.63s,-00d17m56.96s
95,CoRoT-21 b,4563.0,2.26 Jupiters,16.058,2012,Gas Giant,1.3 x Jupiter,0.0417 AU,2.7 days,0,CoRoT-22,Transit,5939.0,1.14,1.1,18h42m40.11s,+06d13m09.00s
96,CoRoT-22 b,2046.0,12.2 Earths,13.82,2014,Neptune-like,0.435 x Jupiter,0.092 AU,9.8 days,0.08,CoRoT-23,Transit,5900.0,1.61,1.14,18h39m07.84s,+04d21m27.91s
97,CoRoT-23 b,3461.0,2.8 Jupiters,15.675,2011,Gas Giant,1.05 x Jupiter,0.048 AU,3.6 days,0.16,CoRoT-24,Transit,4950.0,0.86,0.91,06h47m41.41s,-03d43m09.44s
98,CoRoT-24 b,1930.0,5.7 Earths,15.383,2014,Neptune-like,0.33 x Jupiter,0.056 AU,5.1 days,0,CoRoT-24,Transit,4950.0,0.86,0.91,06h47m41.41s,-03d43m09.44s
99,CoRoT-24 c,1930.0,28 Earths,15.383,2014,Neptune-like,0.44 x Jupiter,0.098 AU,11.8 days,0,CoRoT-25,Transit,6040.0,1.19,1.09,18h42m31.12s,+06d30m49.76s
100,CoRoT-25 b,3600.0,0.27 Jupiters,14.79,2013,Gas Giant,1.08 x Jupiter,0.0578 AU,4.9 days,0,CoRoT-26,Transit,5590.0,1.79,1.09,18h39m00.12s,+06d58m11.22s
101,CoRoT-26 b,3409.0,0.52 Jupiters,15.861,2013,Gas Giant,1.26 x Jupiter,0.0526 AU,4.2 days,0,CoRoT-27,Transit,5900.0,1.08,1.05,18h33m59.00s,+05d32m18.17s
102,CoRoT-27 b,3296.0,10.39 Jupiters,15.774,2014,Gas Giant,1.007 x Jupiter,0.0476 AU,3.6 days,< 0.065,CoRoT-28,Transit,5150.0,1.78,1.01,18h34m45.20s,+05d34m25.29s
103,CoRoT-28 b,2499.0,0.484 Jupiters,13.783,2015,Gas Giant,0.955 x Jupiter,0.0603 AU,5.2 days,0.05,CoRoT-29,Transit,5260.0,0.9,0.97,18h35m36.50s,+06d28m46.45s
104,CoRoT-29 b,2631.0,0.85 Jupiters,15.408,2015,Gas Giant,0.9 x Jupiter,0.0386 AU,2.9 days,0.08,CoRoT-3,Transit,6740.0,1.56,1.37,19h28m13.27s,+00d07m18.61s
105,CoRoT-3 b,2508.0,21.66 Jupiters,13.448,2008,Gas Giant,1.01 x Jupiter,0.05783 AU,4.3 days,0,CoRoT-30,Transit,5650.0,0.91,0.98,18h30m24.28s,+06d50m09.36s
106,CoRoT-30 b,3367.0,2.9 Jupiters,15.571,2020,Gas Giant,1.009 x Jupiter,0.0844 AU,9.1 days,0.01,CoRoT-31,Transit,5700.0,2.15,1.25,06h19m16.98s,-04d25m20.27s
107,CoRoT-31 b,6543.0,0.84 Jupiters,15.479,2020,Gas Giant,1.46 x Jupiter,0.0586 AU,4.6 days,0.02,CoRoT-4,Transit,6190.0,1.17,1.16,06h48m46.71s,-00d40m22.03s
108,CoRoT-4 b,2370.0,0.72 Jupiters,13.652,2008,Gas Giant,1.19 x Jupiter,0.09 AU,9.2 days,0,CoRoT-5,Transit,6100.0,1.19,1.0,06h45m06.54s,+00d48m54.78s
109,CoRoT-5 b,2879.0,0.467 Jupiters,14.043,2009,Gas Giant,1.388 x Jupiter,0.04947 AU,4 days,0.09,CoRoT-6,Transit,6090.0,1.02,1.05,18h44m17.41s,+06d39m47.54s
110,CoRoT-6 b,2105.0,2.96 Jupiters,13.961,2009,Gas Giant,1.166 x Jupiter,0.0855 AU,8.9 days,< 0.1,CoRoT-7,Transit,5275.0,0.83,0.82,06h43m49.48s,-01d03m46.83s
111,CoRoT-7 b,522.0,4.07661 Earths,11.728,2009,Super Earth,1.681 x Earth,0.017016 AU,0.9 days,0,CoRoT-7,Radial Velocity,5256.0,0.86,0.9,06h43m49.48s,-01d03m46.83s
112,CoRoT-7 c,522.0,8.4 Earths,11.728,2009,Neptune-like,0.253 x Jupiter,0.046 AU,3.7 days,0,CoRoT-8,Transit,5080.0,0.77,0.88,19h26m21.26s,+01d25m34.67s
113,CoRoT-8 b,1050.0,0.22 Jupiters,14.792,2010,Gas Giant,0.57 x Jupiter,0.063 AU,6.2 days,0,CoRoT-9,Transit,5625.0,0.96,0.96,18h43m08.80s,+06d12m14.68s
114,CoRoT-9 b,1347.0,0.84 Jupiters,13.637,2009,Gas Giant,1.066 x Jupiter,0.4021 AU,95.3 days,0.13,CoRoTID 223977153,Transit,5970.0,0.79,1.08,06h40m46.84s,+09d15m26.62s
115,CoRoTID 223977153 b,1881.0,0.15 Jupiters,13.626,2017,Gas Giant,0.57 x Jupiter,0.071 AU,6.7 days,0,CT Cha,Imaging,4403.0,1.68,,11h04m09.00s,-76d27m19.33s
116,DE Canun Venaticorum b,100.0,12.0293 Jupiters,12.956,2018,Gas Giant,1.1 x Jupiter,5.75 AU,11.2 years,0,DE CVn,Eclipse Timing Variations,3579.0,0.42,0.51,13h26m52.97s,+45d32m43.96s
117,DENIS-P J082303.1-491201 b,68.0,28.5 Jupiters,18.5577,2013,Gas Giant,1.06 x Jupiter,0.36 AU,246.4 days,0.35,DENIS-P J082303.1-491201,Astrometry,,,0.07,08h23m02.90s,-49d12m01.08s
118,DH Tauri b,440.0,11 Jupiters,13.98,2004,Gas Giant,2.7 x Jupiter,330.0 AU,10441.5 years,0,DH Tau,Imaging,4371.0,0.27,0.33,04h29m41.56s,+26d32m57.80s
119,DMPP-1 b,204.0,24.27 Earths,7.98,2019,Neptune-like,0.472 x Jupiter,0.1462 AU,18.6 days,< 0.083,DMPP-1,Radial Velocity,6196.0,1.26,1.21,05h47m06.27s,-10d37m49.16s
120,DMPP-1 c,204.0,9.6 Earths,7.98,2019,Neptune-like,0.273 x Jupiter,0.0733 AU,6.6 days,< 0.057,DMPP-1,Radial Velocity,6196.0,1.26,1.21,05h47m06.27s,-10d37m49.16s
121,DMPP-1 d,204.0,3.35 Earths,7.98,2019,Super Earth,1.65 x Earth,0.0422 AU,2.9 days,< 0.07,DMPP-1,Radial Velocity,6196.0,1.26,1.21,05h47m06.27s,-10d37m49.16s
